pid,wid,role
P_102490,W_102490,validation
P_105295,W_105295,validation
P_105959,W_105959,validation
P_106310,W_20574,validation
P_107068,W_37082,validation
P_108124,W_20574,validation
P_114206,W_78570,validation
P_116769,W_54460,validation
P_116817,W_80259,validation
P_121294,W_7368,validation
P_122245,W_80259,validation
P_122460,W_113183,validation
P_13093,W_13093,validation
P_130947,W_14330,calibration
P_13524,W_13524,validation
P_140033,W_115629,validation
P_142186,W_6524,validation
P_14330,W_14330,calibration
P_150272,W_35540,validation
P_151192,W_117316,validation
P_151193,W_117316,validation
P_152476,W_72854,validation
P_153182,W_117514,validation
P_153370,W_27871,validation
P_159879,W_118340,validation
P_162747,W_89909,validation
P_16690,W_16690,validation
P_170210,W_119983,validation
P_173333,W_7368,validation
P_173533,W_75143,validation
P_175951,W_91884,validation
P_177203,W_120888,validation
P_183893,W_3821,validation
P_188992,W_122008,validation
P_192119,W_6524,validation
P_192208,W_122315,validation
P_192331,W_122315,validation
P_1952,W_1952,validation
P_1953,W_1952,validation
P_20318,W_20314,validation
P_210664,W_28987,validation
P_2133,W_2133,validation
P_2134,W_2133,validation
P_213620,W_124490,validation
P_213631,W_124490,validation
P_214555,W_112677,validation
P_216545,W_27871,validation
P_216691,W_124878,validation
P_218363,W_22605,validation
P_2237,W_2236,validation
P_22606,W_22605,validation
P_231490,W_127205,validation
P_231503,W_127205,validation
P_23396,W_23390,validation
P_236005,W_127594,validation
P_242247,W_128759,calibration
P_245898,W_173158,validation
P_247225,W_129447,validation
P_247236,W_129447,validation
P_247750,W_23390,validation
P_251897,W_76778,validation
P_263867,W_131527,validation
P_26614,W_26614,validation
P_267925,W_93389,validation
P_268732,W_132291,validation
P_268741,W_132291,validation
P_270325,W_29963,validation
P_270549,W_37082,validation
P_273922,W_133055,validation
P_273923,W_133055,validation
P_279467,W_133731,validation
P_279468,W_133731,validation
P_279887,W_133773,validation
P_279888,W_133773,validation
P_281571,W_124200,validation
P_28451,W_28450,validation
P_286678,W_134440,validation
P_293947,W_135293,validation
P_293949,W_135293,validation
P_295681,W_135509,validation
P_295682,W_135509,validation
P_296197,W_131527,validation
P_29964,W_29963,validation
P_30018,W_30018,validation
P_30019,W_30018,validation
P_300523,W_28987,validation
P_306043,W_136494,validation
