wid,pid,role
W_10868,P_510723,calibration
W_10868,P_77960,calibration
W_128759,P_242247,calibration
W_128759,P_476324,calibration
W_143082,P_355091,calibration
W_143082,P_355092,calibration
W_14330,P_130947,calibration
W_14330,P_14330,calibration
W_159462,P_512189,calibration
W_159462,P_512190,calibration
W_161904,P_530505,calibration
W_161904,P_599275,calibration
W_166202,P_565570,calibration
W_166202,P_565591,calibration
W_177054,P_637814,calibration
W_177054,P_669260,calibration
W_193238,P_732971,calibration
W_193238,P_738612,calibration
W_8760,P_355374,calibration
W_8760,P_699096,calibration
W_114195,P_128095,query
W_114195,P_561695,query
W_123805,P_207372,query
W_123805,P_207373,query
W_135070,P_419983,query
W_135070,P_500152,query
W_137162,P_310762,query
W_137162,P_552138,query
W_140924,P_339002,query
W_140924,P_339004,query
W_145548,P_371702,query
W_145548,P_371703,query
W_149739,P_406772,query
W_149739,P_406780,query
W_150074,P_411001,query
W_150074,P_411005,query
W_157909,P_496855,query
W_157909,P_496865,query
W_157993,P_498001,query
W_157993,P_600318,query
W_168645,P_581917,query
W_168645,P_588834,query
W_188124,P_707271,query
W_188124,P_794970,query
W_195632,P_744950,query
W_195632,P_744951,query
W_203093,P_797406,query
W_203093,P_797408,query
W_25912,P_144424,query
W_25912,P_25913,query
W_29344,P_29344,query
W_29344,P_29345,query
W_36279,P_36279,query
W_36279,P_576649,query
W_66046,P_389050,query
W_66046,P_98383,query
W_67571,P_385477,query
W_67571,P_67571,query
W_68889,P_495015,query
W_68889,P_572966,query
W_106747,P_182327,distractor
W_106747,P_212896,distractor
W_114213,P_128179,distractor
W_114213,P_711691,distractor
W_119174,P_164901,distractor
W_119174,P_174574,distractor
W_119587,P_628481,distractor
W_119587,P_754748,distractor
W_120203,P_172331,distractor
W_120203,P_172332,distractor
W_129185,P_244953,distractor
W_129185,P_411337,distractor
W_129320,P_245861,distractor
W_129320,P_763922,distractor
W_129658,P_248661,distractor
W_129658,P_248663,distractor
W_129713,P_285086,distractor
W_129713,P_599130,distractor
W_130845,P_258584,distractor
W_130845,P_258585,distractor
W_131138,P_260709,distractor
W_131138,P_512895,distractor
W_132947,P_273260,distractor
W_132947,P_292528,distractor
W_133801,P_483023,distractor
W_133801,P_560716,distractor
W_14000,P_455471,distractor
W_14000,P_64760,distractor
W_142879,P_354018,distractor
W_142879,P_354023,distractor
W_145536,P_371644,distractor
W_145536,P_371645,distractor
W_145857,P_373513,distractor
W_145857,P_373514,distractor
W_149336,P_400551,distractor
W_149336,P_404463,distractor
W_150865,P_421998,distractor
W_150865,P_421999,distractor
W_152710,P_447290,distractor
W_152710,P_447344,distractor
W_156986,P_486851,distractor
