subset,role,wid,pid,raw_frames,silent_fraction,n_nonfinite
coveranalysis,calibration,W_14330,P_130947,15164,0.00303,0
coveranalysis,calibration,W_14330,P_14330,16537,0.05128,0
coveranalysis,calibration,W_128759,P_242247,24933,0.0093,0
coveranalysis,calibration,W_143082,P_355091,14918,0.02165,0
coveranalysis,calibration,W_143082,P_355092,18773,0.05018,0
coveranalysis,calibration,W_8760,P_355374,16371,0.00605,0
coveranalysis,calibration,W_128759,P_476324,13703,0.00635,0
coveranalysis,calibration,W_10868,P_510723,12434,0.01222,0
coveranalysis,calibration,W_159462,P_512189,23951,0.00321,0
coveranalysis,calibration,W_159462,P_512190,27715,0.0,0
coveranalysis,calibration,W_161904,P_530505,16929,0.02274,0
coveranalysis,calibration,W_166202,P_565570,19173,0.02196,0
coveranalysis,calibration,W_166202,P_565591,17960,0.01013,0
coveranalysis,calibration,W_161904,P_599275,20851,0.0,0
coveranalysis,calibration,W_177054,P_637814,12482,0.01899,0
coveranalysis,calibration,W_177054,P_669260,12013,0.00874,0
coveranalysis,calibration,W_8760,P_699096,19313,0.00249,0
coveranalysis,calibration,W_193238,P_732971,22905,0.00611,0
coveranalysis,calibration,W_193238,P_738612,21421,0.00042,0
coveranalysis,calibration,W_10868,P_77960,17100,0.0,0
coveranalysis,query,W_114195,P_128095,20745,0.00463,0
coveranalysis,query,W_25912,P_144424,23290,0.00867,0
coveranalysis,query,W_123805,P_207372,18638,0.00086,0
coveranalysis,query,W_123805,P_207373,23518,9e-05,0
coveranalysis,query,W_25912,P_25913,15041,0.01396,0
coveranalysis,query,W_29344,P_29344,21541,0.0104,0
coveranalysis,query,W_29344,P_29345,20378,0.0,0
coveranalysis,query,W_137162,P_310762,11699,0.03077,0
coveranalysis,query,W_140924,P_339002,20393,0.00412,0
coveranalysis,query,W_140924,P_339004,18670,0.00214,0
coveranalysis,query,W_36279,P_36279,11745,0.02691,0
coveranalysis,query,W_145548,P_371702,10418,0.00048,0
coveranalysis,query,W_145548,P_371703,13701,0.00504,0
coveranalysis,query,W_67571,P_385477,14293,0.00147,0
coveranalysis,query,W_66046,P_389050,15511,0.00825,0
coveranalysis,query,W_149739,P_406772,28964,0.00117,0
coveranalysis,query,W_149739,P_406780,18374,0.00044,0
coveranalysis,query,W_150074,P_411001,18429,0.01243,0
coveranalysis,query,W_150074,P_411005,17718,0.00045,0
coveranalysis,query,W_135070,P_419983,16110,0.00335,0
coveranalysis,query,W_68889,P_495015,25738,0.00043,0
coveranalysis,query,W_157909,P_496855,23517,0.01493,0
coveranalysis,query,W_157909,P_496865,15741,0.0,0
coveranalysis,query,W_157993,P_498001,14213,0.0031,0
coveranalysis,query,W_135070,P_500152,14866,0.0,0
coveranalysis,query,W_137162,P_552138,13160,0.0,0
coveranalysis,query,W_114195,P_561695,21056,0.00038,0
coveranalysis,query,W_68889,P_572966,26737,0.02644,0
coveranalysis,query,W_36279,P_576649,22231,0.01763,0
coveranalysis,query,W_168645,P_581917,15923,0.02267,0
coveranalysis,query,W_168645,P_588834,14913,0.0004,0
coveranalysis,query,W_157993,P_600318,29489,0.00393,0
coveranalysis,query,W_67571,P_67571,19550,0.00808,0
coveranalysis,query,W_188124,P_707271,20704,0.00077,0
coveranalysis,query,W_195632,P_744950,13165,0.00273,0
coveranalysis,query,W_195632,P_744951,34815,0.0,0
coveranalysis,query,W_188124,P_794970,22572,0.0,0
coveranalysis,query,W_203093,P_797406,11547,0.00658,0
coveranalysis,query,W_203093,P_797408,11338,0.02179,0
coveranalysis,query,W_66046,P_98383,12182,0.00016,0
coveranalysis,distractor,W_16372,P_108803,20555,0.02077,0
coveranalysis,distractor,W_114213,P_128179,12186,0.0247,0
coveranalysis,distractor,W_16487,P_16487,19408,0.0,0
coveranalysis,distractor,W_16487,P_16488,21122,0.0,0
coveranalysis,distractor,W_119174,P_164901,14230,0.01413,0
coveranalysis,distractor,W_120203,P_172331,21781,0.00542,0
coveranalysis,distractor,W_120203,P_172332,23261,0.03495,0
coveranalysis,distractor,W_119174,P_174574,11089,0.00496,0
coveranalysis,distractor,W_32387,P_179646,18333,5e-05,0
coveranalysis,distractor,W_106747,P_182327,10518,0.02738,0
coveranalysis,distractor,W_106747,P_212896,14907,0.01737,0
coveranalysis,distractor,W_129185,P_244953,12157,0.0009,0
coveranalysis,distractor,W_129320,P_245861,31133,0.01767,0
coveranalysis,distractor,W_129658,P_248661,21855,0.00613,0
coveranalysis,distractor,W_129658,P_248663,29702,0.00111,0
coveranalysis,distractor,W_130845,P_258584,17429,0.00052,0
coveranalysis,distractor,W_130845,P_258585,17673,0.00232,0
coveranalysis,distractor,W_131138,P_260709,15320,0.0,0
coveranalysis,distractor,W_132947,P_273260,29150,0.00014,0
coveranalysis,distractor,W_129713,P_285086,12801,0.00836,0
coveranalysis,distractor,W_132947,P_292528,16722,0.00114,0
coveranalysis,distractor,W_29271,P_29271,14995,0.0,0
coveranalysis,distractor,W_31054,P_31054,26370,0.00027,0
coveranalysis,distractor,W_31054,P_31055,21138,0.00766,0
coveranalysis,distractor,W_29271,P_323950,14650,0.0,0
coveranalysis,distractor,W_32387,P_348463,18637,0.01358,0
coveranalysis,distractor,W_35057,P_35057,13790,0.00044,0
coveranalysis,distractor,W_142879,P_354018,14908,0.0,0
coveranalysis,distractor,W_142879,P_354023,16402,0.00043,0
coveranalysis,distractor,W_145536,P_371644,15661,0.00485,0
coveranalysis,distractor,W_145536,P_371645,18869,0.00344,0
coveranalysis,distractor,W_145857,P_373513,16028,0.00992,0
coveranalysis,distractor,W_145857,P_373514,19510,0.00205,0
coveranalysis,distractor,W_35057,P_396443,19117,0.01643,0
coveranalysis,distractor,W_149336,P_400551,15870,0.00025,0
coveranalysis,distractor,W_149336,P_404463,13272,0.0003,0
coveranalysis,distractor,W_129185,P_411337,15255,0.0,0
coveranalysis,distractor,W_150865,P_421998,15905,0.0,0
coveranalysis,distractor,W_150865,P_421999,15939,0.01424,0
coveranalysis,distractor,W_68546,P_423119,26742,0.00538,0
coveranalysis,distractor,W_16372,P_443951,19597,0.0,0
coveranalysis,distractor,W_152710,P_447290,14593,0.01576,0
coveranalysis,distractor,W_152710,P_447344,16487,0.00631,0
coveranalysis,distractor,W_14000,P_455471,14243,0.00204,0
coveranalysis,distractor,W_133801,P_483023,21653,0.00079,0
coveranalysis,distractor,W_156986,P_486851,19501,0.0,0
coveranalysis,distractor,W_156986,P_486883,19535,0.0,0
coveranalysis,distractor,W_158622,P_504788,18194,0.00802,0
coveranalysis,distractor,W_131138,P_512895,22313,0.02057,0
coveranalysis,distractor,W_133801,P_560716,15973,0.00075,0
coveranalysis,distractor,W_170983,P_595652,15677,0.00874,0
coveranalysis,distractor,W_129713,P_599130,15149,0.00693,0
coveranalysis,distractor,W_119587,P_628481,12627,0.0297,0
coveranalysis,distractor,W_170983,P_636706,11842,0.00203,0
coveranalysis,distractor,W_14000,P_64760,13894,0.00777,0
coveranalysis,distractor,W_178859,P_652173,21414,0.00056,0
coveranalysis,distractor,W_178859,P_652178,19322,0.0,0
coveranalysis,distractor,W_179146,P_653987,31128,0.04292,0
coveranalysis,distractor,W_179146,P_653992,31360,0.03259,0
coveranalysis,distractor,W_181432,P_671036,19891,0.00045,0
coveranalysis,distractor,W_181432,P_671067,21873,0.00032,0
coveranalysis,distractor,W_68546,P_68546,29466,0.00014,0
coveranalysis,distractor,W_183759,P_686529,21351,0.0,0
coveranalysis,distractor,W_183759,P_686530,27510,0.00574,0
coveranalysis,distractor,W_114213,P_711691,13273,0.01936,0
coveranalysis,distractor,W_185884,P_711781,21853,0.00453,0
coveranalysis,distractor,W_185884,P_711783,27389,0.0012,0
coveranalysis,distractor,W_51181,P_72336,13727,0.0008,0
coveranalysis,distractor,W_194735,P_739365,16847,0.01128,0
coveranalysis,distractor,W_194735,P_743653,18995,0.01121,0
coveranalysis,distractor,W_119587,P_754748,23061,0.0121,0
coveranalysis,distractor,W_197450,P_757572,13191,0.02615,0
coveranalysis,distractor,W_197450,P_757574,14789,0.02238,0
coveranalysis,distractor,W_129320,P_763922,30421,0.00227,0
coveranalysis,distractor,W_51181,P_77179,11309,0.0,0
coveranalysis,distractor,W_158622,P_780573,18223,0.00143,0
coveranalysis,distractor,W_201167,P_784883,11965,0.04229,0
coveranalysis,distractor,W_201167,P_785082,12350,0.0,0
coveranalysis,distractor,W_200960,P_791187,20673,0.00247,0
coveranalysis,distractor,W_200960,P_791203,24457,0.00053,0
coveranalysis,validation,W_102490,P_102490,13525,0.00244,0
coveranalysis,validation,W_105295,P_105295,12617,0.03844,0
coveranalysis,validation,W_105959,P_105959,13011,0.02421,0
coveranalysis,validation,W_20574,P_106310,25765,0.00578,0
coveranalysis,validation,W_37082,P_107068,16571,0.014,0
coveranalysis,validation,W_20574,P_108124,25279,0.00566,0
