candidate_pid,kocc10,hub_reference
P_100,19,0.848866
P_1002,5,0.899575
P_100518,3,0.890744
P_100549,3,0.890114
P_10081,2,0.867110
P_101001,9,0.873330
P_101081,8,0.898369
P_101261,5,0.901681
P_10129,5,0.878076
P_101399,13,0.887776
P_101400,4,0.874208
P_101419,24,0.858815
P_10144,10,0.866067
P_101442,14,0.862551
P_101515,5,0.891356
P_101520,10,0.888306
P_101529,6,0.885413
P_101533,5,0.865818
P_101534,3,0.890109
P_101536,16,0.882308
P_101690,15,0.886853
P_1017,7,0.903419
P_101853,3,0.851942
P_102024,6,0.886929
P_102104,5,0.896147
P_10212,7,0.860133
P_10216,14,0.870001
P_102166,0,0.895482
P_102167,8,0.888920
P_102171,11,0.879733
P_102273,12,0.862907
P_10229,7,0.890934
P_102343,11,0.882083
P_10237,11,0.872859
P_102396,5,0.856808
P_10242,6,0.857825
P_102435,10,0.894427
P_102458,13,0.840013
P_102471,13,0.874103
P_102472,9,0.874359
P_102474,3,0.878712
P_102499,8,0.884616
P_10253,11,0.886674
P_102533,6,0.842711
P_102560,6,0.846582
P_10257,6,0.848010
P_102577,11,0.874542
P_10259,7,0.872770
P_102602,5,0.838560
P_10261,6,0.885337
P_102624,11,0.852541
P_102627,12,0.851050
P_102651,7,0.887455
P_102653,9,0.869908
P_102710,6,0.865118
P_102746,14,0.888546
P_1028,2,0.886978
P_102802,13,0.872844
P_102917,11,0.891331
P_102950,6,0.874678
P_102984,8,0.838635
P_102987,12,0.861366
P_103,12,0.880650
P_103018,2,0.887373
P_103143,5,0.860646
P_10317,10,0.883786
P_103197,13,0.873816
P_103216,11,0.871865
P_103233,8,0.880784
P_103277,13,0.832122
P_103279,14,0.843752
P_103295,2,0.897260
P_1033,4,0.898871
P_103374,8,0.843103
P_103376,9,0.866846
P_10338,14,0.884968
P_103433,5,0.872629
P_103452,7,0.875664
P_103454,17,0.879700
P_103473,10,0.866670
P_103475,18,0.877883
P_103476,13,0.869084
P_103478,11,0.877164
P_103533,9,0.861931
P_103557,6,0.805692
P_103571,5,0.888180
P_10360,6,0.857616
P_103622,9,0.875700
P_103682,5,0.841205
P_103687,15,0.821604
P_103737,10,0.873591
P_103766,7,0.836478
P_103771,15,0.851892
P_103772,15,0.870535
P_103808,5,0.863477
P_103809,10,0.882921
P_103845,6,0.899493
P_103944,6,0.891807
P_104,7,0.888078
P_10401,12,0.850893
P_104042,9,0.856617
P_104063,0,0.848298
P_10408,6,0.856554
P_104176,12,0.892924
P_104213,8,0.874839
P_104226,8,0.887963
P_104258,8,0.895123
P_10428,11,0.849168
P_104314,12,0.848048
P_104315,8,0.838960
P_104317,2,0.868104
