query_pid,query_wid,n_rel,s1_rel_ranks,s1_first,s1_ap,s1_top1,cov_K5,hyb_first_K5,hyb_ap_K5,hyb_top1_K5,rr_first_K5,rr_ap_K5,hub_first_K5,hub_ap_K5,hub_top1_K5,cov_K10,hyb_first_K10,hyb_ap_K10,hyb_top1_K10,rr_first_K10,rr_ap_K10,hub_first_K10,hub_ap_K10,hub_top1_K10,cov_K20,hyb_first_K20,hyb_ap_K20,hyb_top1_K20,rr_first_K20,rr_ap_K20,hub_first_K20,hub_ap_K20,hub_top1_K20,cov_K30,hyb_first_K30,hyb_ap_K30,hyb_top1_K30,rr_first_K30,rr_ap_K30,hub_first_K30,hub_ap_K30,hub_top1_K30,cov_K50,hyb_first_K50,hyb_ap_K50,hyb_top1_K50,rr_first_K50,rr_ap_K50,hub_first_K50,hub_ap_K50,hub_top1_K50,cov_K100,hyb_first_K100,hyb_ap_K100,hyb_top1_K100,rr_first_K100,rr_ap_K100,hub_first_K100,hub_ap_K100,hub_top1_K100,cov_K200,hyb_first_K200,hyb_ap_K200,hyb_top1_K200,rr_first_K200,rr_ap_K200,hub_first_K200,hub_ap_K200,hub_top1_K200,cov_K500,hyb_first_K500,hyb_ap_K500,hyb_top1_K500,rr_first_K500,rr_ap_K500,hub_first_K500,hub_ap_K500,hub_top1_K500
P_100,W_100,12,20;48;89;210;323;583;1141;1829;4305;5092;5903;10025,20,0.015651457531313428,P_106924,0,20,0.01565146,P_290275,20,0.01565146,20,0.01565146,P_785816,0,20,0.01565146,P_143752,20,0.01565146,20,0.01565146,P_143752,1,1,0.09481812,P_388605,1,0.09481812,1,0.09481812,P_388605,1,1,0.09481812,P_388605,1,0.09481812,1,0.09481812,P_388605,2,1,0.17467924,P_388605,1,0.17467924,1,0.17467924,P_388605,3,1,0.25520358,P_388605,1,0.25520358,1,0.25520358,P_388605,3,1,0.25520358,P_388605,1,0.25520358,1,0.25520358,P_388605,5,1,0.34061994,P_388605,1,0.3410015,1,0.3380821,P_388605
P_1002,W_1002,12,26;79;259;267;290;436;463;496;527;597;1636;3556,26,0.01637662177376376,P_407629,0,26,0.01637662,P_90446,26,0.01637662,26,0.01637662,P_90446,0,26,0.01637662,P_90446,26,0.01637662,26,0.01637662,P_90446,0,26,0.01637662,P_90446,26,0.01637662,26,0.01637662,P_90446,1,2,0.05483816,P_791911,2,0.05483816,1,0.09650483,P_27734,1,2,0.05483816,P_791911,2,0.05483816,1,0.09650483,P_27734,2,4,0.03536734,P_372190,4,0.03586338,3,0.04360147,P_372190,2,4,0.03403187,P_372190,6,0.02711518,3,0.04231179,P_372190,8,3,0.07462956,P_372190,1,0.11430257,3,0.08849573,P_372190
P_100518,W_5549,12,23;54;75;85;196;234;300;535;624;1457;2593;5811,23,0.023717140831925776,P_398263,0,23,0.02371714,P_138614,23,0.02371714,23,0.02371714,P_31812,0,23,0.02371714,P_83038,23,0.02371714,23,0.02371714,P_83038,0,23,0.02371714,P_83038,23,0.02371714,23,0.02371714,P_83038,1,2,0.06176062,P_83038,1,0.10342729,4,0.04092729,P_83038,1,2,0.06176062,P_83038,1,0.10342729,5,0.03676062,P_83038,4,2,0.15558596,P_83038,1,0.23322202,2,0.11514191,P_83038,5,2,0.15288298,P_83038,1,0.23001044,2,0.10063347,P_104689,7,2,0.16409551,P_83038,1,0.23222792,2,0.10622657,P_104689
P_10081,W_48,12,5565;7349;8555;8630;10596;10716;10761;11520;11724;11754;12907;14341,5565,0.0005791819066012574,P_409883,0,5565,0.00057918,P_232992,5565,0.00057918,5565,0.00057918,P_232992,0,5565,0.00057918,P_563923,5565,0.00057918,5565,0.00057918,P_563923,0,5565,0.00057918,P_54000,5565,0.00057918,5565,0.00057918,P_54000,0,5565,0.00057918,P_54000,5565,0.00057918,5565,0.00057918,P_520343,0,5565,0.00057918,P_452101,5565,0.00057918,5565,0.00057918,P_520343,0,5565,0.00057918,P_452101,5565,0.00057918,5565,0.00057918,P_520343,0,5565,0.00057918,P_452101,5565,0.00057918,5565,0.00057918,P_520343,0,5565,0.00057918,P_483437,5565,0.00057918,5565,0.00057918,P_520343
P_101001,W_101001,12,892;1380;1559;1573;1584;2399;2645;3249;3270;4198;4548;4679,892,0.002326804731634475,P_387378,0,892,0.0023268,P_116320,892,0.0023268,892,0.0023268,P_116320,0,892,0.0023268,P_116320,892,0.0023268,892,0.0023268,P_116320,0,892,0.0023268,P_174185,892,0.0023268,892,0.0023268,P_174185,0,892,0.0023268,P_145429,892,0.0023268,892,0.0023268,P_145429,0,892,0.0023268,P_145429,892,0.0023268,892,0.0023268,P_145429,0,892,0.0023268,P_483752,892,0.0023268,892,0.0023268,P_483752,0,892,0.0023268,P_483752,892,0.0023268,892,0.0023268,P_483752,0,892,0.0023268,P_483752,892,0.0023268,892,0.0023268,P_483752
P_101081,W_5071,12,2;5;6;7;10;15;24;31;107;133;333;349,2,0.30398973840579613,P_340602,2,3,0.29010085,P_340602,3,0.29010085,1,0.39565641,P_265944,5,1,0.39433365,P_263293,1,0.39433365,1,0.51470402,P_263293,6,2,0.25633968,P_62994,2,0.25284318,2,0.38395006,P_62994,7,2,0.24950103,P_62994,2,0.2532997,2,0.42095402,P_62994,8,2,0.20944123,P_62994,2,0.20833923,2,0.37701433,P_62994,8,2,0.1755604,P_62994,2,0.15676875,2,0.30537185,P_62994,10,2,0.16696608,P_62994,2,0.14595252,2,0.29882245,P_62994,12,2,0.14212814,P_62994,2,0.10403354,2,0.24200919,P_62994
P_10129,W_10129,12,1;2;4;5;7;12;17;49;274;589;747;1021,1,0.45130159353399085,P_246856,4,1,0.48880159,P_246856,1,0.48880159,1,0.48880159,P_246856,5,1,0.51261112,P_246856,1,0.51261112,1,0.51261112,P_246856,7,1,0.60329739,P_246856,1,0.60329739,1,0.60329739,P_246856,7,1,0.60329739,P_246856,1,0.60329739,1,0.60329739,P_246856,8,1,0.67302528,P_246856,1,0.67302528,1,0.67302528,P_246856,8,1,0.67302528,P_246856,1,0.67302528,1,0.67302528,P_246856,8,1,0.67302528,P_246856,1,0.67302528,1,0.67302528,P_18535,9,1,0.67409516,P_246856,1,0.67429875,1,0.69448161,P_18535
P_101399,W_55442,12,45;58;68;76;97;187;202;288;361;469;737;2610,45,0.030441098920831678,P_474968,0,45,0.0304411,P_474968,45,0.0304411,45,0.0304411,P_474968,0,45,0.0304411,P_474968,45,0.0304411,45,0.0304411,P_474968,0,45,0.0304411,P_474968,45,0.0304411,45,0.0304411,P_474968,0,45,0.0304411,P_474968,45,0.0304411,45,0.0304411,P_474968,1,36,0.03090406,P_491847,36,0.03090406,30,0.03136702,P_474968,5,1,0.12045677,P_62391,1,0.12101827,1,0.1508779,P_62391,6,1,0.1134185,P_62391,1,0.11302461,1,0.14478771,P_62391,10,1,0.20657388,P_78395,1,0.21028325,1,0.25637727,P_62391
P_101400,W_103,12,30;34;42;57;68;87;132;200;290;292;352;1325,30,0.04790614722343501,P_541845,0,30,0.04790615,P_617779,30,0.04790615,30,0.04790615,P_617779,0,30,0.04790615,P_564187,30,0.04790615,30,0.04790615,P_617779,0,30,0.04790615,P_564187,30,0.04790615,30,0.04790615,P_360446,1,11,0.05270413,P_221491,10,0.0534617,26,0.0483335,P_360446,3,4,0.07153762,P_726933,3,0.07927572,4,0.06481247,P_726933,6,2,0.13182203,P_726933,2,0.14089803,4,0.09401826,P_746341,8,2,0.11102719,P_726933,2,0.1067939,3,0.09390342,P_746341,11,2,0.10905496,P_726933,5,0.08252598,5,0.07156566,P_792303
P_101419,W_10212,12,2;3;8;73;93;191;282;334;1066;1385;2342;3031,2,0.14622766287857827,P_674690,2,1,0.21567211,P_387417,1,0.21567211,1,0.21567211,P_387417,3,1,0.24692211,P_387417,1,0.23442211,1,0.24692211,P_394769,3,1,0.23442211,P_387417,1,0.22608877,1,0.23442211,P_394769,3,1,0.21219989,P_387417,1,0.20525544,1,0.20942211,P_394769,3,1,0.19912799,P_387417,1,0.19632687,1,0.20365288,P_394769,5,1,0.21290868,P_387417,1,0.215948,1,0.22528648,P_394769,6,1,0.28988466,P_387417,1,0.28578531,1,0.29303305,P_394769,8,1,0.29765935,P_387417,1,0.29781438,1,0.32678308,P_394769
