candidate_pid,kocc10,hub_reference
P_100,15,0.848866
P_1002,6,0.899575
P_100518,3,0.890744
P_100549,3,0.890114
P_10081,4,0.867110
P_101001,11,0.873330
P_101081,9,0.898369
P_101261,8,0.901681
P_10129,10,0.878076
P_101399,15,0.887776
P_101400,4,0.874208
P_101419,23,0.858815
P_10144,12,0.866067
P_101442,15,0.862551
P_101515,8,0.891356
P_101520,10,0.888306
P_101529,5,0.885413
P_101533,5,0.865818
P_101534,4,0.890109
P_101536,24,0.882308
P_101690,6,0.886853
P_1017,9,0.903419
P_101853,2,0.851942
P_102024,6,0.886929
P_102104,4,0.896147
P_10212,10,0.860133
P_10216,3,0.870001
P_102166,1,0.895482
P_102167,7,0.888920
P_102171,17,0.879733
P_102273,12,0.862907
P_10229,2,0.890934
P_102343,13,0.882083
P_10237,12,0.872859
P_102396,6,0.856808
P_10242,12,0.857825
P_102435,10,0.894427
P_102458,13,0.840013
P_102471,8,0.874103
P_102472,11,0.874359
P_102474,5,0.878712
P_102499,10,0.884616
P_10253,10,0.886674
P_102533,5,0.842711
P_102560,3,0.846582
P_10257,4,0.848010
P_102577,3,0.874542
P_10259,5,0.872770
P_102602,3,0.838560
P_10261,3,0.885337
P_102624,6,0.852541
P_102627,19,0.851050
P_102651,11,0.887455
P_102653,11,0.869908
P_102710,14,0.865118
P_102746,8,0.888546
P_1028,2,0.886978
P_102802,16,0.872844
P_102917,8,0.891331
P_102950,6,0.874678
P_102984,9,0.838635
P_102987,20,0.861366
P_103,13,0.880650
P_103018,4,0.887373
P_103143,11,0.860646
P_10317,7,0.883786
P_103197,11,0.873816
P_103216,7,0.871865
P_103233,11,0.880784
P_103277,12,0.832122
P_103279,14,0.843752
P_103295,2,0.897260
P_1033,7,0.898871
P_103374,11,0.843103
P_103376,3,0.866846
P_10338,16,0.884968
P_103433,5,0.872629
P_103452,7,0.875664
P_103454,13,0.879700
P_103473,10,0.866670
P_103475,8,0.877883
P_103476,3,0.869084
P_103478,2,0.877164
P_103533,9,0.861931
P_103557,11,0.805692
P_103571,2,0.888180
P_10360,5,0.857616
P_103622,10,0.875700
P_103682,10,0.841205
P_103687,11,0.821604
P_103737,8,0.873591
P_103766,6,0.836478
P_103771,18,0.851892
P_103772,21,0.870535
P_103808,4,0.863477
P_103809,5,0.882921
P_103845,7,0.899493
P_103944,9,0.891807
P_104,3,0.888078
P_10401,17,0.850893
P_104042,12,0.856617
P_104063,0,0.848298
P_10408,9,0.856554
P_104176,4,0.892924
P_104213,7,0.874839
P_104226,12,0.887963
P_104258,5,0.895123
P_10428,19,0.849168
P_104314,15,0.848048
P_104315,11,0.838960
P_104317,4,0.868104
P_104320,6,0.862074
P_104353,2,0.880589
P_104354,6,0.872438
P_104357,3,0.888457
P_10436,4,0.886622
P_104365,3,0.877917
P_10437,5,0.881300
P_10441,15,0.852200
P_104429,5,0.872684
P_104437,6,0.842600
P_104513,7,0.865795
P_10456,10,0.888046
P_104604,3,0.884080
P_104659,8,0.893188
P_104683,2,0.889422
P_104689,5,0.884076
P_104716,9,0.831664
P_104733,7,0.876343
P_104734,6,0.876343
P_10476,9,0.842963
P_104780,6,0.902490
P_104781,2,0.852345
P_104788,7,0.892205
P_104791,2,0.870210
P_10483,11,0.848246
P_104834,12,0.871181
P_104838,7,0.876073
P_104854,6,0.865396
P_10488,12,0.880158
P_10492,13,0.843417
P_10500,13,0.875624
P_105004,7,0.883077
P_105015,7,0.878206
P_105019,6,0.885405
P_105030,4,0.880547
