query_pid,query_wid,n_rel,s1_rel_ranks,s1_first,s1_ap,s1_top1,cov_K5,hyb_first_K5,hyb_ap_K5,hyb_top1_K5,rr_first_K5,rr_ap_K5,hub_first_K5,hub_ap_K5,hub_top1_K5,cov_K10,hyb_first_K10,hyb_ap_K10,hyb_top1_K10,rr_first_K10,rr_ap_K10,hub_first_K10,hub_ap_K10,hub_top1_K10,cov_K20,hyb_first_K20,hyb_ap_K20,hyb_top1_K20,rr_first_K20,rr_ap_K20,hub_first_K20,hub_ap_K20,hub_top1_K20,cov_K30,hyb_first_K30,hyb_ap_K30,hyb_top1_K30,rr_first_K30,rr_ap_K30,hub_first_K30,hub_ap_K30,hub_top1_K30,cov_K50,hyb_first_K50,hyb_ap_K50,hyb_top1_K50,rr_first_K50,rr_ap_K50,hub_first_K50,hub_ap_K50,hub_top1_K50,cov_K100,hyb_first_K100,hyb_ap_K100,hyb_top1_K100,rr_first_K100,rr_ap_K100,hub_first_K100,hub_ap_K100,hub_top1_K100,cov_K200,hyb_first_K200,hyb_ap_K200,hyb_top1_K200,rr_first_K200,rr_ap_K200,hub_first_K200,hub_ap_K200,hub_top1_K200,cov_K500,hyb_first_K500,hyb_ap_K500,hyb_top1_K500,rr_first_K500,rr_ap_K500,hub_first_K500,hub_ap_K500,hub_top1_K500
P_100,W_100,12,11;26;54;116;277;452;534;997;2598;3562;3968;9042,11,0.026724914874093522,P_106924,0,11,0.02672491,P_143752,11,0.02672491,11,0.02672491,P_143752,0,11,0.02672491,P_143752,11,0.02672491,11,0.02672491,P_143752,1,1,0.10248249,P_388605,1,0.10248249,1,0.10248249,P_388605,2,1,0.17940557,P_388605,1,0.17940557,1,0.17940557,P_388605,2,1,0.17940557,P_388605,1,0.17940557,1,0.17940557,P_388605,3,1,0.25810927,P_388605,1,0.25810927,1,0.25810927,P_388605,4,1,0.33856904,P_388605,1,0.33856904,1,0.33856904,P_388605,6,1,0.34091569,P_388605,1,0.34152608,1,0.33929274,P_388605
P_1002,W_1002,12,3;41;67;85;93;98;322;356;367;448;503;3150,3,0.0588058863078434,P_407629,1,1,0.11436144,P_27734,1,0.11436144,1,0.11436144,P_27734,1,1,0.11436144,P_27734,1,0.11436144,1,0.11436144,P_27734,1,1,0.11436144,P_27734,1,0.11436144,1,0.11436144,P_27734,1,1,0.11436144,P_27734,2,0.07269478,1,0.11436144,P_27734,2,1,0.11823291,P_27734,2,0.07788899,1,0.12311691,P_27734,6,1,0.12448491,P_27734,3,0.07287769,1,0.13146617,P_27734,6,1,0.1119316,P_27734,3,0.05694422,1,0.11764053,P_27734,10,1,0.1667685,P_27734,1,0.12350458,1,0.21412047,P_27734
P_100518,W_5549,12,37;41;88;93;183;218;253;397;505;971;1590;4544,37,0.02443776348914739,P_138614,0,37,0.02443776,P_138614,37,0.02443776,37,0.02443776,P_138614,0,37,0.02443776,P_138614,37,0.02443776,37,0.02443776,P_243558,0,37,0.02443776,P_83038,37,0.02443776,37,0.02443776,P_243558,0,37,0.02443776,P_83038,37,0.02443776,37,0.02443776,P_243558,2,2,0.06553426,P_83038,1,0.10786406,8,0.03260218,P_243558,4,2,0.08224565,P_83038,1,0.14474565,7,0.04702475,P_125112,5,2,0.10676094,P_83038,1,0.22392122,6,0.06998763,P_125112,8,2,0.13544257,P_83038,1,0.24505727,5,0.07771411,P_104689
P_10081,W_48,12,8051;8548;9638;9696;9935;10220;10327;10445;10873;11627;12269;12951,8051,0.0005939200490678678,P_191761,0,8051,0.00059392,P_244448,8051,0.00059392,8051,0.00059392,P_244448,0,8051,0.00059392,P_244448,8051,0.00059392,8051,0.00059392,P_244448,0,8051,0.00059392,P_244448,8051,0.00059392,8051,0.00059392,P_54000,0,8051,0.00059392,P_244448,8051,0.00059392,8051,0.00059392,P_54000,0,8051,0.00059392,P_483437,8051,0.00059392,8051,0.00059392,P_483437,0,8051,0.00059392,P_483437,8051,0.00059392,8051,0.00059392,P_283400,0,8051,0.00059392,P_483437,8051,0.00059392,8051,0.00059392,P_283400,0,8051,0.00059392,P_483437,8051,0.00059392,8051,0.00059392,P_283400
P_101001,W_101001,12,723;987;1087;1256;1262;1408;1757;2762;3209;3878;4551;4575,723,0.0029067648744195026,P_9190,0,723,0.00290676,P_145429,723,0.00290676,723,0.00290676,P_145429,0,723,0.00290676,P_145429,723,0.00290676,723,0.00290676,P_145429,0,723,0.00290676,P_145429,723,0.00290676,723,0.00290676,P_145429,0,723,0.00290676,P_145429,723,0.00290676,723,0.00290676,P_145429,0,723,0.00290676,P_145429,723,0.00290676,723,0.00290676,P_145429,0,723,0.00290676,P_145429,723,0.00290676,723,0.00290676,P_145429,0,723,0.00290676,P_483752,723,0.00290676,723,0.00290676,P_145429,0,723,0.00290676,P_483752,723,0.00290676,723,0.00290676,P_483752
P_101081,W_5071,12,2;3;4;6;7;28;51;53;67;262;453;501,2,0.33506950114558326,P_773693,3,1,0.37673617,P_45058,1,0.35034728,1,0.42534728,P_45058,5,1,0.37084992,P_263293,1,0.36489754,1,0.46304569,P_263293,5,1,0.29639388,P_263293,1,0.29150849,1,0.46304569,P_263293,6,2,0.21789154,P_62994,2,0.22193194,1,0.39637902,P_263293,6,2,0.20290749,P_62994,2,0.20139156,1,0.38804569,P_263293,9,2,0.17291641,P_62994,2,0.15612499,1,0.33776281,P_263293,9,2,0.14841038,P_62994,2,0.12093717,2,0.26600419,P_62994,11,2,0.13683352,P_62994,2,0.10154218,2,0.22737624,P_62994
P_10129,W_10129,12,1;2;3;4;5;22;23;61;200;383;675;1094,1,0.48388312650482845,P_246856,5,1,0.48388313,P_246856,1,0.48388313,1,0.48388313,P_18535,5,1,0.48388313,P_246856,1,0.48388313,1,0.48388313,P_246856,5,1,0.48388313,P_246856,1,0.48388313,1,0.48388313,P_246856,7,1,0.6024602,P_246856,1,0.6024602,1,0.6024602,P_246856,7,1,0.6024602,P_246856,1,0.6024602,1,0.6024602,P_246856,8,1,0.67486457,P_246856,1,0.67486457,1,0.67486457,P_18535,9,1,0.67839613,P_246856,1,0.67935633,1,0.69889235,P_18535,10,1,0.70191033,P_246856,1,0.71467048,1,0.72229473,P_18535
P_101399,W_55442,12,36;49;52;66;105;122;128;265;348;402;629;3421,36,0.0366917950650526,P_24473,0,36,0.0366918,P_474968,36,0.0366918,36,0.0366918,P_474968,0,36,0.0366918,P_474968,36,0.0366918,36,0.0366918,P_474968,0,36,0.0366918,P_474968,36,0.0366918,36,0.0366918,P_27790,0,36,0.0366918,P_474968,36,0.0366918,36,0.0366918,P_27790,2,16,0.04081358,P_474968,16,0.04108591,6,0.05127477,P_27790,4,1,0.11771988,P_62391,1,0.11687163,1,0.14467839,P_62391,7,1,0.20214443,P_78395,1,0.20100051,1,0.24379345,P_78395,10,1,0.21077863,P_78395,1,0.21799998,1,0.26673638,P_78395
P_101400,W_103,12,15;21;28;33;43;47;103;118;197;235;377;950,15,0.07500032734756175,P_236817,0,15,0.07500033,P_617779,15,0.07500033,15,0.07500033,P_617779,0,15,0.07500033,P_564187,15,0.07500033,15,0.07500033,P_617779,1,2,0.11111144,P_564187,1,0.15277811,1,0.15277811,P_38010,3,3,0.10595271,P_726933,2,0.12169345,2,0.11011343,P_726933,6,2,0.14394927,P_726933,2,0.15346208,2,0.14346097,P_726933,6,2,0.12301406,P_726933,2,0.12137993,3,0.09884428,P_746341,9,2,0.12622702,P_726933,2,0.11830288,3,0.10300929,P_746341,11,3,0.10141626,P_726933,5,0.07714876,6,0.07020602,P_792303
P_101419,W_10212,12,2;7;26;45;150;306;523;903;1247;1631;2126;3326,2,0.09060859566738948,P_222890,1,1,0.13227526,P_387417,1,0.13227526,1,0.13227526,P_387417,2,1,0.15013241,P_387417,1,0.15013241,1,0.15013241,P_387417,2,1,0.13227526,P_387417,1,0.13227526,1,0.13624352,P_387417,3,1,0.20996147,P_387417,1,0.20718369,1,0.20996147,P_394769,4,1,0.19679525,P_387417,1,0.19539918,1,0.20591181,P_394769,4,1,0.18847998,P_387417,1,0.18654877,1,0.19560961,P_394769,5,1,0.26622343,P_387417,1,0.26358174,1,0.27085126,P_394769,6,1,0.26798298,P_10212,1,0.26786708,1,0.27111305,P_394769
