query_pid,query_wid,fold,p_no_cover_oof,y_no_cover
P_100,W_100,4,0.119548,0
P_1002,W_1002,3,0.475765,0
P_100518,W_5549,1,0.205967,0
P_10081,W_48,0,0.790205,1
P_101001,W_101001,4,0.761033,1
P_101081,W_5071,4,0.224925,0
P_10129,W_10129,1,0.189303,0
P_101399,W_55442,0,0.148246,1
P_101400,W_103,2,0.281633,0
P_101419,W_10212,3,0.51996,0
P_10144,W_10144,4,0.028732,0
P_101442,W_63854,0,0.64405,0
P_101515,W_2393,1,0.354931,0
P_101520,W_3162,2,0.186335,0
P_101529,W_10788,1,0.263425,0
P_101533,W_15519,4,0.301146,0
P_101534,W_3177,2,0.820267,1
P_101536,W_22451,3,0.686171,0
P_1017,W_1017,2,0.217419,0
P_101853,W_28493,4,0.783748,1
P_102024,W_2673,1,0.260634,0
P_102104,W_6676,3,0.175296,1
P_10212,W_10212,3,0.470725,0
P_10216,W_10216,1,0.755947,1
P_102166,W_2976,2,0.808669,1
P_102167,W_2974,3,0.431788,0
P_102171,W_100,4,0.357006,0
P_102273,W_7495,0,0.406346,0
P_10229,W_167,1,0.16256,0
P_102343,W_40034,1,0.544922,0
P_10237,W_10237,3,0.253019,0
P_102396,W_31003,3,0.24612,1
P_10242,W_10237,3,0.393249,0
P_102435,W_9626,2,0.199555,1
P_102458,W_11817,2,0.485493,1
P_102471,W_10717,0,0.411754,0
P_102472,W_841,1,0.403354,0
P_102474,W_12992,4,0.178387,0
P_10253,W_10253,3,0.232437,0
P_102533,W_27906,0,0.711696,1
P_10257,W_100,4,0.411218,1
P_102577,W_102577,1,0.66812,1
P_10259,W_2768,4,0.34427,0
P_102602,W_51980,1,0.643292,0
P_10261,W_10253,3,0.681419,1
P_102624,W_11794,2,0.677114,1
P_102627,W_75372,1,0.755592,1
P_102651,W_3097,1,0.211687,0
P_102653,W_33804,0,0.181053,0
P_102710,W_10144,4,0.258387,0
P_102746,W_1033,0,0.730548,1
P_102802,W_20610,2,0.108228,0
P_102917,W_5231,0,0.616225,1
P_102950,W_3092,1,0.109572,0
P_102984,W_4865,4,0.280778,0
P_102987,W_175,2,0.604428,1
P_103,W_103,2,0.327366,0
P_103143,W_103129,0,0.136067,1
P_10317,W_13523,4,0.515154,0
P_103197,W_53687,2,0.742623,0
P_103216,W_10717,0,0.558089,0
P_103233,W_272,0,0.017491,0
P_103277,W_11471,2,0.693076,0
P_103279,W_39438,2,0.590808,1
P_1033,W_1033,0,0.514962,0
P_103374,W_5363,4,0.214499,1
P_103376,W_2966,4,0.473677,0
P_10338,W_10338,4,0.02609,0
P_103433,W_1282,2,0.174717,0
P_103452,W_35206,0,0.629128,1
P_103454,W_4884,3,0.779771,1
P_103473,W_10906,4,0.690342,1
P_103475,W_4884,3,0.599919,0
P_103476,W_86939,4,0.551592,1
P_103478,W_7257,3,0.770847,1
P_103533,W_25000,4,0.075343,0
P_103557,W_21695,1,0.381492,0
P_103571,W_43997,4,0.293381,1
P_10360,W_4833,4,0.12925,0
P_103622,W_20049,1,0.466143,0
P_103682,W_4835,2,0.404573,0
P_103687,W_42453,1,0.563904,0
P_103737,W_625,0,0.598803,1
P_103766,W_21695,1,0.269374,0
P_103771,W_103771,3,0.481189,0
P_103772,W_103771,3,0.31565,0
P_103808,W_28784,2,0.423228,1
P_103809,W_4655,2,0.546237,0
P_103845,W_5549,1,0.226451,0
P_104,W_103,2,0.370545,0
P_10401,W_4687,2,0.697182,1
P_104042,W_80336,0,0.455535,0
P_104063,W_31003,3,0.450326,1
