query_pid,query_wid,n_rel,global:full_long_rel_ranks,global:full_60_rel_ranks,global:base_1500_rel_ranks,ttr_rel_ranks,win_max_rel_ranks,win_fuse_rel_ranks,s1_hub_rel_ranks
P_100,W_100,12,20;48;89;210;323;583;1141;1829;4305;5092;5903;10025,726;767;944;1268;1330;1703;2430;3289;4325;4329;6998;9101,169;1125;1917;2787;3104;4140;4689;5220;6136;8009;9498;10352,30;67;79;188;213;337;1092;1656;2777;5200;5919;9493,16;33;42;93;272;584;689;731;1578;2628;4156;8091,11;26;54;116;277;452;534;997;2598;3562;3968;9042,20;48;89;210;323;583;1141;1829;4305;5092;5903;10025
P_1002,W_1002,12,26;79;259;267;290;436;463;496;527;597;1636;3556,13;40;76;129;264;604;649;1006;1145;1231;1492;3308,32;56;130;203;299;1071;1188;1951;2725;3849;4005;4652,3;9;11;32;85;221;313;333;419;447;677;2950,1;2;43;46;55;61;92;276;337;424;605;3219,3;41;67;85;93;98;322;356;367;448;503;3150,26;79;259;267;290;436;463;496;527;597;1636;3556
P_100518,W_5549,12,23;54;75;85;196;234;300;535;624;1457;2593;5811,63;112;187;275;322;479;591;1102;1293;1350;2239;5181,768;1045;1285;2029;2572;2822;3246;3461;3678;3767;4353;7053,20;67;74;182;243;267;319;463;892;920;1337;5344,56;77;96;175;288;308;353;470;532;752;1041;3898,37;41;88;93;183;218;253;397;505;971;1590;4544,23;54;75;85;196;234;300;535;624;1457;2593;5811
P_10081,W_48,12,5565;7349;8555;8630;10596;10716;10761;11520;11724;11754;12907;14341,1785;7490;8557;8977;9359;10283;10652;11299;11427;11451;11887;12020,3897;5667;6067;6521;10528;10676;11146;11273;11437;12120;13107;13182,4932;5696;8029;8129;9850;9851;10693;10796;10991;11989;13223;14324,8437;8758;9777;9932;10203;10206;10244;10962;11055;11504;11520;11579,8051;8548;9638;9696;9935;10220;10327;10445;10873;11627;12269;12951,5565;7349;8555;8630;10596;10716;10761;11520;11724;11754;12907;14341
P_101001,W_101001,12,892;1380;1559;1573;1584;2399;2645;3249;3270;4198;4548;4679,122;373;693;1707;2200;3072;3231;3585;4814;4859;5845;5967,616;1317;1549;2817;2892;2917;3720;4760;5159;5669;7920;8509,507;786;848;878;1310;1324;2303;2746;3079;3700;3869;5234,245;426;641;906;1269;1477;2188;2457;3216;3349;4736;5015,723;987;1087;1256;1262;1408;1757;2762;3209;3878;4551;4575,892;1380;1559;1573;1584;2399;2645;3249;3270;4198;4548;4679
P_101081,W_5071,12,2;5;6;7;10;15;24;31;107;133;333;349,1;8;23;25;49;53;70;87;134;190;253;279,57;227;256;420;506;544;623;666;757;1123;1505;2913,1;3;7;8;11;17;30;40;55;141;358;443,2;3;11;18;38;55;62;105;177;632;730;876,2;3;4;6;7;28;51;53;67;262;453;501,2;5;6;7;10;15;24;31;107;133;333;349
P_10129,W_10129,12,1;2;4;5;7;12;17;49;274;589;747;1021,4;5;8;30;37;66;69;151;232;1389;2720;2861,35;86;154;199;267;878;987;999;3307;6818;9143;10673,1;2;4;5;8;9;12;136;269;729;759;1393,2;3;5;14;16;65;92;126;178;257;964;2843,1;2;3;4;5;22;23;61;200;383;675;1094,1;2;4;5;7;12;17;49;274;589;747;1021
P_101399,W_55442,12,45;58;68;76;97;187;202;288;361;469;737;2610,51;182;280;292;425;502;842;948;959;1023;1678;6478,32;123;467;720;929;955;1160;1476;1935;2698;3634;5183,38;62;69;87;97;123;191;201;360;469;526;1278,22;53;70;72;79;112;138;248;280;674;698;4942,36;49;52;66;105;122;128;265;348;402;629;3421,45;58;68;76;97;187;202;288;361;469;737;2610
P_101400,W_103,12,30;34;42;57;68;87;132;200;290;292;352;1325,12;44;89;129;140;149;154;177;181;245;900;1051,43;54;94;137;159;345;426;429;560;1431;2458;6049,18;20;24;25;57;58;97;157;211;276;290;1742,4;31;32;36;59;64;74;136;162;186;581;1037,15;21;28;33;43;47;103;118;197;235;377;950,30;34;42;57;68;87;132;200;290;292;352;1325
P_101419,W_10212,12,2;3;8;73;93;191;282;334;1066;1385;2342;3031,16;17;37;58;66;271;272;390;1304;1354;1410;1778,287;335;408;555;623;1186;1456;1959;2579;3508;4667;8255,2;5;6;59;84;101;143;387;570;1063;1975;2962,11;66;93;217;221;1022;1104;1408;1734;2207;2294;4736,2;7;26;45;150;306;523;903;1247;1631;2126;3326,2;3;8;73;93;191;282;334;1066;1385;2342;3031
P_10144,W_10144,12,1;2;3;4;5;6;7;34;42;65;68;215,8;40;41;62;77;90;113;164;311;513;1170;1418,55;139;370;542;936;961;964;1273;1354;2091;2985;3425,1;2;3;4;5;6;7;42;61;63;65;244,1;2;3;4;5;6;7;15;38;121;343;414,1;2;3;4;5;6;7;23;30;41;111;202,1;2;3;4;5;6;7;34;42;65;68;215
