query_pid,query_wid,s1_first,s1_ap,cov,none_n96_first,none_n96_ap,profile_cosine_n96_first,profile_cosine_n96_ap,exhaustive_dtw_n96_first,exhaustive_dtw_n96_ap,none_n384_first,none_n384_ap,profile_cosine_n384_first,profile_cosine_n384_ap,exhaustive_dtw_n384_first,exhaustive_dtw_n384_ap
P_100,W_100,20,0.015651457531313428,1,13,0.01789505,1,0.09481812,1,0.09481812,13,0.01789505,1,0.09481812,1,0.09481812
P_1002,W_1002,26,0.01637662177376376,1,4,0.03400483,2,0.05483816,2,0.05483816,4,0.03400483,2,0.05483816,2,0.05483816
P_100518,W_5549,23,0.023717140831925776,1,1,0.10342729,1,0.10342729,1,0.10342729,1,0.10342729,1,0.10342729,1,0.10342729
P_10081,W_48,5565,0.0005791819066012574,0,5565,0.00057918,5565,0.00057918,5565,0.00057918,5565,0.00057918,5565,0.00057918,5565,0.00057918
P_101001,W_101001,892,0.002326804731634475,0,892,0.0023268,892,0.0023268,892,0.0023268,892,0.0023268,892,0.0023268,892,0.0023268
P_101081,W_5071,2,0.30398973840579613,7,1,0.23973709,1,0.26081294,1,0.26081294,1,0.23817135,2,0.2532997,2,0.2532997
P_10129,W_10129,1,0.45130159353399085,7,1,0.40486417,1,0.59288073,1,0.59288073,1,0.40486417,1,0.60329739,1,0.60329739
P_101399,W_55442,45,0.030441098920831678,0,45,0.0304411,45,0.0304411,45,0.0304411,45,0.0304411,45,0.0304411,45,0.0304411
P_101400,W_103,30,0.04790614722343501,1,18,0.049758,11,0.05270413,12,0.05207281,15,0.05068393,10,0.0534617,5,0.06179504
P_101419,W_10212,2,0.14622766287857827,3,2,0.08150188,1,0.198311,1,0.19632687,2,0.09067211,1,0.20525544,1,0.20525544
P_10144,W_10144,1,0.6517503870958045,7,1,0.35544217,1,0.4665474,1,0.46099184,1,0.35500025,1,0.59897261,1,0.58369483
P_101442,W_63854,30,0.009337823901533314,1,26,0.00976517,23,0.01018323,24,0.01003227,27,0.00964647,21,0.0105283,21,0.0105283
P_101515,W_2393,3,0.12872163952113405,5,3,0.11840765,1,0.2890408,1,0.28848965,4,0.11495971,1,0.35491212,1,0.35491212
P_101520,W_3162,3,0.24458651806844775,7,2,0.36771462,2,0.23420854,2,0.23420854,1,0.44013526,1,0.45498171,1,0.45498171
P_101529,W_10788,13,0.025656775342887152,1,29,0.02212008,1,0.10257985,1,0.10257985,29,0.02212008,1,0.10257985,1,0.10257985
P_101533,W_15519,16,0.010745533580513812,1,24,0.00900942,1,0.08887053,1,0.08887053,23,0.00916039,1,0.08887053,1,0.08887053
P_101534,W_3177,906,0.0010446002672145878,0,906,0.0010446,906,0.0010446,906,0.0010446,906,0.0010446,906,0.0010446,906,0.0010446
P_101536,W_22451,23,0.008958704404852634,1,1,0.08866885,1,0.08866885,1,0.08866885,1,0.08866885,1,0.08866885,1,0.08866885
P_1017,W_1017,1,0.48619580646733374,9,1,0.51612729,1,0.71631368,1,0.71631368,1,0.46956566,1,0.64562762,1,0.64562762
P_101853,W_28493,1167,0.001688592632100432,0,1167,0.00168859,1167,0.00168859,1167,0.00168859,1167,0.00168859,1167,0.00168859,1167,0.00168859
P_102024,W_2673,2,0.07265244384228377,3,4,0.05142229,1,0.19452744,1,0.19452744,3,0.05800598,2,0.12612467,2,0.12612467
P_102104,W_6676,87,0.017240386262284742,0,87,0.01724039,87,0.01724039,87,0.01724039,87,0.01724039,87,0.01724039,87,0.01724039
P_10212,W_10212,1,0.15173069927890606,3,1,0.2001434,1,0.21750451,1,0.21125451,1,0.20096039,1,0.22792118,1,0.22792118
P_10216,W_10216,228,0.00526346190164697,0,228,0.00526346,228,0.00526346,228,0.00526346,228,0.00526346,228,0.00526346,228,0.00526346
P_102166,W_2976,41,0.013026231896885144,0,41,0.01302623,41,0.01302623,41,0.01302623,41,0.01302623,41,0.01302623,41,0.01302623
P_102167,W_2974,30,0.014887330056547294,1,23,0.01573274,20,0.01627622,20,0.01627622,25,0.01544289,17,0.01701151,17,0.01701151
P_102171,W_100,9,0.03210675505841011,2,1,0.10837021,1,0.12821148,2,0.08654481,1,0.10876704,1,0.18376704,1,0.18376704
P_102273,W_7495,1,0.25524753876018286,4,6,0.09059622,1,0.31988429,1,0.31988429,6,0.0905246,1,0.33972556,1,0.34766207
P_10229,W_167,28,0.007653715585558829,1,8,0.01509419,1,0.08801086,1,0.08801086,8,0.01509419,1,0.08801086,1,0.08801086
P_102343,W_40034,1,0.08578395124000089,1,2,0.04411728,18,0.00708025,18,0.00708025,2,0.04411728,16,0.00765895,16,0.00765895
P_10237,W_10237,1,0.21276246886869196,4,1,0.22030215,1,0.35522279,1,0.35522279,1,0.22030215,1,0.35522279,1,0.35522279
P_102396,W_31003,222,0.004413924077005607,0,222,0.00441392,222,0.00441392,222,0.00441392,222,0.00441392,222,0.00441392,222,0.00441392
P_10242,W_10237,2,0.12708724696672688,4,7,0.07251513,1,0.23088153,1,0.23088153,7,0.07184403,1,0.35703894,1,0.35703894
P_102435,W_9626,35,0.016778587112133748,0,35,0.01677859,35,0.01677859,35,0.01677859,35,0.01677859,35,0.01677859,35,0.01677859
P_102458,W_11817,33,0.010404857725464458,0,33,0.01040486,33,0.01040486,33,0.01040486,33,0.01040486,33,0.01040486,33,0.01040486
P_102471,W_10717,7,0.04688689608107729,2,22,0.02368381,6,0.04470436,6,0.04470436,21,0.02386418,5,0.04748213,5,0.04748213
P_102472,W_841,9,0.08332208025991429,4,2,0.12118584,7,0.09800038,4,0.12693981,1,0.16338414,3,0.12043187,2,0.19357146
