query_wid,s1_first,hyb_first,class
W_100,20,1,R
W_1002,26,2,B_not_promoted
W_5549,23,2,B_not_promoted
W_48,5565,5565,A
W_101001,892,892,A
W_5071,2,2,B_not_promoted
W_10129,1,1,R
W_55442,45,45,A
W_103,30,11,B_not_promoted
W_10212,2,1,R
W_10144,1,1,R
W_63854,30,24,B_not_promoted
W_2393,3,1,R
W_3162,3,1,R
W_10788,13,1,R
W_15519,16,1,R
W_3177,906,906,A
W_22451,23,1,R
W_1017,1,1,R
W_28493,1167,1167,A
W_2673,2,1,R
W_6676,87,87,A
W_10212,1,1,R
W_10216,228,228,A
W_2976,41,41,A
W_2974,30,17,B_not_promoted
W_100,9,1,R
W_7495,1,1,R
W_167,28,1,R
W_40034,1,14,B_demoted
W_10237,1,1,R
W_31003,222,222,A
W_10237,2,1,R
W_9626,35,35,A
W_11817,33,33,A
W_10717,7,5,B_not_promoted
W_841,9,2,B_not_promoted
W_12992,9,1,R
W_10253,2,1,R
W_27906,75,75,A
W_100,333,333,A
W_102577,565,565,A
W_2768,2,2,B_not_promoted
W_51980,10,1,R
W_10253,211,211,A
W_11794,441,441,A
W_75372,57,57,A
W_3097,1,1,R
W_33804,2,1,R
W_10144,6,1,R
W_1033,154,154,A
W_20610,3,1,R
W_5231,103,103,A
W_3092,1,1,R
W_4865,2,1,R
W_175,719,719,A
W_103,1,1,R
W_103129,125,125,A
W_13523,27,9,B_not_promoted
W_53687,29,28,B_not_promoted
W_10717,4,4,B_not_promoted
W_272,1,1,R
W_11471,16,2,B_not_promoted
W_39438,151,151,A
W_1033,3,1,R
W_5363,31,31,A
W_2966,3,6,B_demoted
W_10338,1,1,R
W_1282,11,1,R
W_35206,598,598,A
W_4884,1164,1164,A
W_10906,64,64,A
W_4884,6,15,B_demoted
W_86939,32,32,A
W_7257,343,343,A
W_25000,1,1,R
W_21695,1,1,R
W_43997,1026,1026,A
W_4833,8,1,R
W_20049,13,20,B_demoted
W_4835,8,14,B_demoted
W_42453,21,5,B_not_promoted
W_625,272,272,A
W_21695,16,1,R
W_103771,21,1,R
W_103771,24,1,R
W_28784,111,111,A
W_4655,12,1,R
W_5549,5,1,R
W_103,5,6,B_demoted
W_4687,75,75,A
W_80336,27,6,B_not_promoted
W_31003,270,270,A
W_5440,57,57,A
W_8202,19,1,R
W_2110,1,2,B_demoted
W_7776,1751,1751,A
W_10428,1,1,R
W_98770,2,1,R
W_4779,2,1,R
W_4646,22,30,B_demoted
W_20122,8,5,B_not_promoted
W_3221,609,609,A
W_6102,22,17,B_not_promoted
W_26939,12,1,R
W_2768,12,14,B_demoted
W_1055,122,122,A
W_2110,10,2,B_not_promoted
W_4945,1,1,R
W_9560,1051,1051,A
W_76174,3313,3313,A
W_2558,44,44,A
W_2976,2,1,R
W_11014,532,532,A
W_2673,59,59,A
W_19789,10,1,R
W_22556,48,48,A
W_27790,3,1,R
W_10237,13,4,B_not_promoted
W_3270,3434,3434,A
W_3964,12,1,R
W_5388,1,1,R
W_9560,34,34,A
W_7577,133,133,A
W_10472,1,1,R
W_22581,2,1,R
W_1983,259,259,A
W_462,6,2,B_not_promoted
W_6616,1,1,R
W_6602,10,1,R
W_6676,1,1,R
W_24222,6,2,B_not_promoted
W_886,9,1,R
W_13440,15,20,B_demoted
W_34791,3,1,R
W_430,2,3,B_demoted
W_3063,12,4,B_not_promoted
W_8202,110,110,A
W_19955,119,119,A
W_2558,51,51,A
W_1454,5,1,R
W_97414,5,1,R
W_24473,1,1,R
W_148,34,34,A
W_97414,15,2,B_not_promoted
W_1130,1949,1949,A
W_3162,25,16,B_not_promoted
W_1282,73,73,A
W_15519,5,8,B_demoted
W_6437,129,129,A
W_2083,22,8,B_not_promoted
W_9133,155,155,A
W_20122,1751,1751,A
W_28687,17,4,B_not_promoted
W_625,2343,2343,A
W_1055,2,1,R
W_10581,2758,2758,A
W_47101,5,1,R
W_882,13,11,B_not_promoted
W_2768,3816,3816,A
W_8850,9,1,R
W_1812,1,1,R
W_10577,1,1,R
W_29380,24,12,B_not_promoted
W_87469,3,1,R
W_42934,10,5,B_not_promoted
W_5319,1,1,R
W_6549,7,1,R
W_5141,1,22,B_demoted
W_10603,9,1,R
W_10237,2,1,R
W_30552,1,5,B_demoted
W_27641,22,17,B_not_promoted
W_10641,3,1,R
W_82877,100,100,A
W_10526,2,1,R
W_932,1,1,R
W_1456,35,35,A
W_2696,1,4,B_demoted
W_10685,16,1,R
W_106883,48,48,A
W_52963,9,1,R
W_13208,1,1,R
W_6807,1,1,R
W_92417,161,161,A
W_10717,2,1,R
W_61207,7,22,B_demoted
W_40034,39,39,A
W_10577,18,2,B_not_promoted
